N048.59.50.3700 E002.33.13.7599992 T
N048.59.50.8800012 E002.33.22.2500016 T
N048.59.52.1099988 E002.33.30.8999988 T
N048.59.52.8659988 E002.33.41.4420012 T
N048.59.53.3979996 E002.33.51.7839984 T
N048.59.54.3289992 E002.34.06.9939984 T
N048.59.55.2609996 E002.34.25.2459984 T
N048.59.56.7240 E002.34.52.4200008 T
N048.59.57.5220012 E002.35.07.0209996 T
N048.59.58.1870004 E002.35.19.1889996 T
N048.59.58.8519996 E002.35.31.1539992 T
N048.59.59.9380008 E002.35.51.0389988 T
N049.00.00.4820004 E002.36.05.0559984 T
N049.00.00.9590004 E002.36.11.5970004 T
N048.59.58.9959996 E002.33.09.9010008 U
N048.59.58.6770 E002.33.02.9900016 U
N048.59.58.2299988 E002.32.56.1760008 U
N048.59.57.7190004 E002.32.42.6459984 U
N048.59.56.6970 E002.32.21.0369984 U
N048.59.49.9300008 E002.32.07.5069996 U
N048.59.38.8200012 E002.31.58.8439992 U
N048.59.27.8379996 E002.32.00.2060016 U
N048.59.55.9309992 E002.33.10.8740016 C
N048.59.55.4840016 E002.33.03.9629988 C
N048.59.55.1010012 E002.32.57.0519996 C
N048.59.54.3990012 E002.32.43.6189992 C
N048.59.53.3770008 E002.32.24.1519992 C
N048.59.47.8230 E002.32.11.1080004 C
N048.59.39.0760008 E002.32.04.7810004 C
N048.59.29.0510016 E002.32.05.9489988 C
N048.59.24.4539996 E002.32.11.3030016 C1
N048.59.35.1809988 E002.32.09.4539984 C2
N048.59.23.7519996 E002.32.04.0030008 UC1
N048.59.32.4350016 E002.32.02.9320008 UC2
N048.59.45.4800012 E002.32.03.9900012 UC3
N048.59.52.9299996 E002.32.13.5420 UC4
N048.59.55.4840016 E002.32.32.7180012 UC5
N048.59.56.6340 E002.32.53.2560012 UT1
N048.59.53.0599992 E002.32.53.9099988 UT1
N048.59.56.9529996 E002.32.59.7779988 UT2
N048.59.53.5300008 E002.33.01.6099992 UT2
N048.59.57.3360 E002.33.06.8839992 UT3
N048.59.53.8699992 E002.33.08.4899988 UT3
N048.59.57.7190004 E002.33.13.6000008 UT4
N048.59.54.2900004 E002.33.15.2600004 UT4
N048.59.46.7430 E002.33.08.1090 T1
N048.59.47.1260004 E002.33.17.3559996 T2
N048.59.47.4450 E002.33.29.5239996 T3
N048.59.47.8920012 E002.33.37.3110012 T4
N048.59.48.2110008 E002.33.46.2660012 T5
N048.59.49.4160 E002.33.58.1760 T6
N048.59.54.3770016 E002.35.47.5959984 T9
N048.59.55.0749984 E002.35.57.7860 T10
N048.59.55.5740016 E002.36.06.6080016 T11
N048.59.55.8729996 E002.36.12.6910008 T12
N049.00.00.0879984 E002.36.36.6270012 R1
N048.59.49.3770012 E002.33.52.5200004 W1
N048.59.51.1640016 E002.34.15.7839996 W2
N048.59.51.8030016 E002.34.32.0400012 W4
N048.59.55.2509988 E002.34.38.0750016 WT
N048.59.52.3140 E002.34.45.2780004 W3
N048.59.54.2929992 E002.35.03.7719996 W5
N048.59.54.9949992 E002.35.27.5229996 W6
N048.59.43.9620 E002.33.37.8630 S1
N048.59.44.4729984 E002.33.46.8180 S2
N048.59.44.9840004 E002.33.58.5770004 S3
N048.59.50.9629992 E002.35.48.4360008 S6
N048.59.51.5220 E002.35.58.5350016 S7
N048.59.51.9209988 E002.36.05.9569992 S9
N048.59.40.6680 E002.33.53.5759992 S
N048.59.41.5460004 E002.34.11.9480016 S
N048.59.42.5829984 E002.34.30.5649984 S
N048.59.46.0150008 E002.35.31.8879996 S
N048.59.46.6540008 E002.35.45.0290004 S
N048.59.47.0529996 E002.35.55.2490008 S
N048.59.47.4519984 E002.36.03.1579992 S
N049.00.03.3699996 E002.35.53.5899984 SE1
N049.00.03.6900 E002.35.59.7000012 SE2
N049.00.04.1400 E002.36.08.0600004 SE3
N049.00.04.4799984 E002.36.14.1900012 SE4
N048.59.51.5600016 E002.32.54.3400008 SW1
N048.59.52.4699988 E002.33.02.0800008 SW2
N048.59.52.8100008 E002.33.08.8899984 SW3
N048.59.53.2899996 E002.33.15.6700008 SW4
N048.59.36.7569996 E002.33.55.1580012 V1
N048.59.36.9970008 E002.34.01.1200008 V2
N048.59.39.1520004 E002.34.14.5040016 V3
N048.59.40.5080016 E002.34.45.5300004 V4
N048.59.42.5829984 E002.35.18.6259992 V5
N048.59.43.7799984 E002.35.42.7170012 V6
N048.59.43.6210008 E002.35.58.0480008 V7
N048.59.44.0199996 E002.36.07.4170008 V9
N049.00.29.5830 E002.32.59.4740004 MIDDLE 1
N049.00.31.8700008 E002.33.15.7299984 MIDDLE 2
N049.00.40.8080016 E002.34.44.9190012 MIDDLE 3
N049.00.41.4069984 E002.35.00.8890008 MIDDLE 4
N049.00.44.5770 E002.29.35.5049988 EM1
N049.00.49.2360012 E002.30.13.1320008 EM2
N049.00.50.5019988 E002.30.33.3789984 EM3
N049.00.51.4010016 E002.30.49.2639984 EM4
N049.00.51.6060 E002.30.53.3139984 EM5
N049.00.52.4329992 E002.31.07.8679992 EM6
N049.00.52.5350016 E002.31.11.2159992 EM7
N049.00.52.8419988 E002.31.18.1470 EM8
N049.00.46.6700004 E002.30.20.9599992 EM23
N049.01.00.1899984 E002.30.40.9399992 B
N049.01.03.9200016 E002.32.24.8899992 LINK W
N049.00.51.1400016 E002.30.27.0900 M
N049.00.00.2800008 E002.33.15.3100008 CARGO 1
N048.59.55.0100004 E002.33.17.6100012 CARGO 2
N049.00.56.0499984 E002.31.01.9400016 OUEST
N049.00.59.2700004 E002.31.12.2099988 EST
