COLOR_GrasSurface
N043.38.07.1549988 E001.20.55.1910012
N043.38.05.1090 E001.20.51.4439988
N043.38.04.2839988 E001.20.53.4599988
N043.38.02.7110004 E001.20.53.9810016


COLOR_HardSurface4
N043.38.00.1790016 E001.20.56.0349996
N043.37.59.3090004 E001.20.54.5470008
N043.37.59.1669984 E001.20.54.2960016
N043.37.56.9510004 E001.20.56.5950012
N043.37.58.1750004 E001.20.58.8009984
N043.38.00.7289988 E001.20.56.2629984
N043.38.00.1790016 E001.20.56.0349996


COLOR_HardSurface4
N043.37.34.3290 E001.21.23.1509988
N043.37.33.9480012 E001.21.22.4600004
N043.37.33.7000008 E001.21.22.4309988
N043.37.33.2760 E001.21.22.7499984
N043.37.32.5040016 E001.21.23.2149996
N043.37.32.3860008 E001.21.23.3309988
N043.37.36.2740008 E001.21.30.4729992
N043.37.37.8159996 E001.21.28.7700012
N043.37.37.8199992 E001.21.27.8349984
N043.37.37.1830008 E001.21.26.4539988
N043.37.37.1340012 E001.21.26.4970008
N043.37.37.0840008 E001.21.26.4219984
N043.37.36.0909984 E001.21.25.8580008
N043.37.36.0500016 E001.21.24.5750004
